25 20
1 1 4
1 2 8
1 3 10
2 1 5
2 2 8
2 3 11
7 6 13
7 7 8
7 8 14
11 4 0
15 4 3
15 7 3
10 10 15
11 10 15
12 10 15
13 10 15
6 17 2
12 15 1
6 14 15
7 14 15
8 14 15
9 14 15
6 15 15
7 15 15
8 15 15
9 15 15
7 16 15
8 16 15
9 16 15
7 17 15
8 17 15
9 17 15
17 13 7
18 13 8
19 13 9
17 17 6
18 17 8
19 17 12
10 1 1
11 1 1
12 1 1
13 1 1
14 1 1
15 1 1
16 1 1
17 1 1
18 1 1
10 2 1
10 3 1
10 4 1
10 5 1
10 6 1
10 7 1
10 8 1
10 9 1
18 2 1
18 3 1
18 4 1
18 5 1
18 6 1
18 7 1
18 8 1
18 9 1
5 10 1
6 10 1
7 10 1
8 10 1
9 10 1
14 10 1
15 10 1
16 10 1
17 10 1
19 10 1
20 10 1
21 10 1
22 10 1
23 10 1
5 11 1
5 12 1
5 13 1
5 14 1
5 15 1
5 16 1
5 17 1
5 18 1
5 19 1
23 11 1
23 12 1
23 13 1
23 14 1
23 15 1
23 16 1
23 17 1
23 18 1
23 19 1
6 19 1
7 19 1
8 19 1
9 19 1
10 19 1
11 19 1
12 19 1
13 19 1
14 19 1
15 19 1
16 19 1
17 19 1
18 19 1
19 19 1
20 19 1
21 19 1
22 19 1
14 11 1
14 12 1
14 13 1
14 14 1
14 15 1
14 17 1
14 18 1
